agency_cd,site_no,datetime,tz_cd,16340_00065,16340_00065_cd,,
5s,15s,datetime,6s,14n,Obs,TORRENT,UNET
USGS,11463500,2/25/19 1:00,PST,28.39,8.653272,,
USGS,11463500,2/25/19 1:15,PST,28.35,8.64108,,
USGS,11463500,2/25/19 1:30,PST,28.33,8.634984,,
USGS,11463500,2/25/19 1:45,PST,28.3,8.62584,,
USGS,11463500,2/25/19 2:00,PST,28.28,8.619744,,
USGS,11463500,2/25/19 2:15,PST,28.24,8.607552,,
USGS,11463500,2/25/19 2:30,PST,28.22,8.601456,,
USGS,11463500,2/25/19 2:45,PST,28.21,8.598408,,
USGS,11463500,2/25/19 3:00,PST,28.17,8.586216,,
USGS,11463500,2/25/19 3:15,PST,28.15,8.58012,,
USGS,11463500,2/25/19 3:30,PST,28.12,8.570976,,
USGS,11463500,2/25/19 3:45,PST,28.11,8.567928,,
USGS,11463500,2/25/19 4:00,PST,28.08,8.558784,,
USGS,11463500,2/25/19 4:15,PST,28.06,8.552688,,
USGS,11463500,2/25/19 4:30,PST,28.04,8.546592,,
USGS,11463500,2/25/19 4:45,PST,28.03,8.543544,,
USGS,11463500,2/25/19 5:00,PST,28,8.5344,,
USGS,11463500,2/25/19 5:15,PST,27.98,8.528304,,
USGS,11463500,2/25/19 5:30,PST,27.98,8.528304,,
USGS,11463500,2/25/19 5:45,PST,27.95,8.51916,,
USGS,11463500,2/25/19 6:00,PST,27.94,8.516112,,
USGS,11463500,2/25/19 6:15,PST,27.92,8.510016,,
USGS,11463500,2/25/19 6:30,PST,27.91,8.506968,,
USGS,11463500,2/25/19 6:45,PST,27.9,8.50392,,
USGS,11463500,2/25/19 7:00,PST,27.89,8.500872,,
USGS,11463500,2/25/19 7:15,PST,27.88,8.497824,,
USGS,11463500,2/25/19 7:30,PST,27.87,8.494776,,
USGS,11463500,2/25/19 7:45,PST,27.86,8.491728,,
USGS,11463500,2/25/19 8:00,PST,27.86,8.491728,,
USGS,11463500,2/25/19 8:15,PST,27.86,8.491728,,
USGS,11463500,2/25/19 8:30,PST,27.84,8.485632,,
USGS,11463500,2/25/19 8:45,PST,27.83,8.482584,,
USGS,11463500,2/25/19 9:00,PST,27.82,8.479536,,
USGS,11463500,2/25/19 9:15,PST,27.81,8.476488,,
USGS,11463500,2/25/19 9:30,PST,27.81,8.476488,,
USGS,11463500,2/25/19 9:45,PST,27.82,8.479536,,
USGS,11463500,2/25/19 10:00,PST,27.81,8.476488,,
USGS,11463500,2/25/19 10:15,PST,27.82,8.479536,,
USGS,11463500,2/25/19 10:30,PST,27.83,8.482584,,
USGS,11463500,2/25/19 10:45,PST,27.83,8.482584,,
USGS,11463500,2/25/19 11:00,PST,27.85,8.48868,,
USGS,11463500,2/25/19 11:15,PST,27.85,8.48868,,
USGS,11463500,2/25/19 11:30,PST,27.87,8.494776,,
USGS,11463500,2/25/19 11:45,PST,27.89,8.500872,,
USGS,11463500,2/25/19 12:00,PST,27.91,8.506968,,
USGS,11463500,2/25/19 12:15,PST,27.94,8.516112,,
USGS,11463500,2/25/19 12:30,PST,27.98,8.528304,,
USGS,11463500,2/25/19 12:45,PST,28.02,8.540496,,
USGS,11463500,2/25/19 13:00,PST,28.04,8.546592,,
USGS,11463500,2/25/19 13:15,PST,28.08,8.558784,,
USGS,11463500,2/25/19 13:30,PST,28.13,8.574024,,
USGS,11463500,2/25/19 13:45,PST,28.17,8.586216,,
USGS,11463500,2/25/19 14:00,PST,28.24,8.607552,,
USGS,11463500,2/25/19 14:15,PST,28.3,8.62584,,
USGS,11463500,2/25/19 14:30,PST,28.39,8.653272,,
USGS,11463500,2/25/19 14:45,PST,28.49,8.683752,,
USGS,11463500,2/25/19 15:00,PST,28.6,8.71728,,
USGS,11463500,2/25/19 15:15,PST,28.7,8.74776,,
USGS,11463500,2/25/19 15:30,PST,28.83,8.787384,,
USGS,11463500,2/25/19 15:45,PST,28.98,8.833104,,
USGS,11463500,2/25/19 16:00,PST,29.15,8.88492,,
USGS,11463500,2/25/19 16:15,PST,29.33,8.939784,,
USGS,11463500,2/25/19 16:30,PST,29.53,9.000744,,
USGS,11463500,2/25/19 16:45,PST,29.75,9.0678,,
USGS,11463500,2/25/19 17:00,PST,29.96,9.131808,,
USGS,11463500,2/25/19 17:15,PST,30.17,9.195816,,
USGS,11463500,2/25/19 17:30,PST,30.4,9.26592,,
USGS,11463500,2/25/19 17:45,PST,30.65,9.34212,,
USGS,11463500,2/25/19 18:00,PST,30.9,9.41832,,
USGS,11463500,2/25/19 18:15,PST,31.15,9.49452,,
USGS,11463500,2/25/19 18:30,PST,31.41,9.573768,,
USGS,11463500,2/25/19 18:45,PST,31.69,9.659112,,
USGS,11463500,2/25/19 19:00,PST,32.01,9.756648,,
USGS,11463500,2/25/19 19:15,PST,32.3,9.84504,,
USGS,11463500,2/25/19 19:30,PST,32.58,9.930384,,
USGS,11463500,2/25/19 19:45,PST,32.87,10.018776,,
USGS,11463500,2/25/19 20:00,PST,33.21,10.122408,,
USGS,11463500,2/25/19 20:15,PST,33.57,10.232136,,
USGS,11463500,2/25/19 20:30,PST,33.92,10.338816,,
USGS,11463500,2/25/19 20:45,PST,34.22,10.430256,,
USGS,11463500,2/25/19 21:00,PST,34.57,10.536936,,
USGS,11463500,2/25/19 21:15,PST,34.89,10.634472,,
USGS,11463500,2/25/19 21:30,PST,35.18,10.722864,,
USGS,11463500,2/25/19 21:45,PST,35.49,10.817352,,
USGS,11463500,2/25/19 22:00,PST,35.78,10.905744,,
USGS,11463500,2/25/19 22:15,PST,36.06,10.991088,,
USGS,11463500,2/25/19 22:30,PST,36.34,11.076432,,
USGS,11463500,2/25/19 22:45,PST,36.65,11.17092,,
USGS,11463500,2/25/19 23:00,PST,36.9,11.24712,,
USGS,11463500,2/25/19 23:15,PST,37.15,11.32332,,
USGS,11463500,2/25/19 23:30,PST,37.45,11.41476,,
USGS,11463500,2/25/19 23:45,PST,37.73,11.500104,,
USGS,11463500,2/26/19 0:00,PST,38,11.5824,1.1999999,0.5223167
USGS,11463500,2/26/19 0:15,PST,38.24,11.655552,,
USGS,11463500,2/26/19 0:30,PST,38.48,11.728704,,
USGS,11463500,2/26/19 0:45,PST,38.69,11.792712,,
USGS,11463500,2/26/19 1:00,PST,38.87,11.847576,,
USGS,11463500,2/26/19 1:15,PST,39.03,11.896344,,
USGS,11463500,2/26/19 1:30,PST,39.2,11.94816,,
USGS,11463500,2/26/19 1:45,PST,39.33,11.987784,,
USGS,11463500,2/26/19 2:00,PST,39.44,12.021312,,
USGS,11463500,2/26/19 2:15,PST,39.56,12.057888,,
USGS,11463500,2/26/19 2:30,PST,39.68,12.094464,,
USGS,11463500,2/26/19 2:45,PST,39.81,12.134088,,
USGS,11463500,2/26/19 3:00,PST,39.9,12.16152,,
USGS,11463500,2/26/19 3:15,PST,39.96,12.179808,,
USGS,11463500,2/26/19 3:30,PST,40.02,12.198096,,
USGS,11463500,2/26/19 3:45,PST,40.09,12.219432,,
USGS,11463500,2/26/19 4:00,PST,40.15,12.23772,,
USGS,11463500,2/26/19 4:15,PST,40.21,12.256008,,
USGS,11463500,2/26/19 4:30,PST,40.27,12.274296,,
USGS,11463500,2/26/19 4:45,PST,40.33,12.292584,,
USGS,11463500,2/26/19 5:00,PST,40.37,12.304776,,
USGS,11463500,2/26/19 5:15,PST,40.44,12.326112,,
USGS,11463500,2/26/19 5:30,PST,40.47,12.335256,,
USGS,11463500,2/26/19 5:45,PST,40.5,12.3444,,
USGS,11463500,2/26/19 6:00,PST,40.54,12.356592,,
USGS,11463500,2/26/19 6:15,PST,40.59,12.371832,,
USGS,11463500,2/26/19 6:30,PST,40.6,12.37488,,
USGS,11463500,2/26/19 6:45,PST,40.63,12.384024,,
USGS,11463500,2/26/19 7:00,PST,40.65,12.39012,,
USGS,11463500,2/26/19 7:15,PST,40.66,12.393168,,
USGS,11463500,2/26/19 7:30,PST,40.66,12.393168,,
USGS,11463500,2/26/19 7:45,PST,40.67,12.396216,,
USGS,11463500,2/26/19 8:00,PST,40.69,12.402312,,
USGS,11463500,2/26/19 8:15,PST,40.69,12.402312,,
USGS,11463500,2/26/19 8:30,PST,40.7,12.40536,,
USGS,11463500,2/26/19 8:45,PST,40.73,12.414504,,
USGS,11463500,2/26/19 9:00,PST,40.75,12.4206,,
USGS,11463500,2/26/19 9:15,PST,40.74,12.417552,,
USGS,11463500,2/26/19 9:30,PST,40.76,12.423648,,
USGS,11463500,2/26/19 9:45,PST,40.8,12.43584,,
USGS,11463500,2/26/19 10:00,PST,40.81,12.438888,,
USGS,11463500,2/26/19 10:15,PST,40.84,12.448032,,
USGS,11463500,2/26/19 10:30,PST,40.85,12.45108,,
USGS,11463500,2/26/19 10:45,PST,40.85,12.45108,,
USGS,11463500,2/26/19 11:00,PST,40.87,12.457176,,
USGS,11463500,2/26/19 11:15,PST,40.9,12.46632,,
USGS,11463500,2/26/19 11:30,PST,40.92,12.472416,,
USGS,11463500,2/26/19 11:45,PST,40.95,12.48156,,
USGS,11463500,2/26/19 12:00,PST,40.97,12.487656,,
USGS,11463500,2/26/19 12:15,PST,41.01,12.499848,,
USGS,11463500,2/26/19 12:30,PST,41.05,12.51204,,
USGS,11463500,2/26/19 12:45,PST,41.09,12.524232,,
USGS,11463500,2/26/19 13:00,PST,41.13,12.536424,,
USGS,11463500,2/26/19 13:15,PST,41.18,12.551664,,
USGS,11463500,2/26/19 13:30,PST,41.22,12.563856,,
USGS,11463500,2/26/19 13:45,PST,41.28,12.582144,,
USGS,11463500,2/26/19 14:00,PST,41.35,12.60348,,
USGS,11463500,2/26/19 14:15,PST,41.42,12.624816,,
USGS,11463500,2/26/19 14:30,PST,41.51,12.652248,,
USGS,11463500,2/26/19 14:45,PST,41.59,12.676632,,
USGS,11463500,2/26/19 15:00,PST,41.68,12.704064,,
USGS,11463500,2/26/19 15:15,PST,41.76,12.728448,,
USGS,11463500,2/26/19 15:30,PST,41.84,12.752832,,
USGS,11463500,2/26/19 15:45,PST,41.92,12.777216,,
USGS,11463500,2/26/19 16:00,PST,42,12.8016,,
USGS,11463500,2/26/19 16:15,PST,42.07,12.822936,,
USGS,11463500,2/26/19 16:30,PST,42.11,12.835128,,
USGS,11463500,2/26/19 16:45,PST,42.16,12.850368,,
USGS,11463500,2/26/19 17:00,PST,42.23,12.871704,,
USGS,11463500,2/26/19 17:15,PST,42.28,12.886944,,
USGS,11463500,2/26/19 17:30,PST,42.31,12.896088,,
USGS,11463500,2/26/19 17:45,PST,42.35,12.90828,,
USGS,11463500,2/26/19 18:00,PST,42.39,12.920472,,
USGS,11463500,2/26/19 18:15,PST,42.43,12.932664,,
USGS,11463500,2/26/19 18:30,PST,42.48,12.947904,,
USGS,11463500,2/26/19 18:45,PST,42.51,12.957048,,
USGS,11463500,2/26/19 19:00,PST,42.54,12.966192,,
USGS,11463500,2/26/19 19:15,PST,42.58,12.978384,,
USGS,11463500,2/26/19 19:30,PST,42.65,12.99972,,
USGS,11463500,2/26/19 19:45,PST,42.7,13.01496,,
USGS,11463500,2/26/19 20:00,PST,42.73,13.024104,,
USGS,11463500,2/26/19 20:15,PST,42.76,13.033248,,
USGS,11463500,2/26/19 20:30,PST,42.86,13.063728,,
USGS,11463500,2/26/19 20:45,PST,42.91,13.078968,,
USGS,11463500,2/26/19 21:00,PST,42.96,13.094208,,
USGS,11463500,2/26/19 21:15,PST,43.01,13.109448,,
USGS,11463500,2/26/19 21:30,PST,43.06,13.124688,,
USGS,11463500,2/26/19 21:45,PST,43.11,13.139928,,
USGS,11463500,2/26/19 22:00,PST,43.17,13.158216,,
USGS,11463500,2/26/19 22:15,PST,43.21,13.170408,,
USGS,11463500,2/26/19 22:30,PST,43.25,13.1826,,
USGS,11463500,2/26/19 22:45,PST,43.33,13.206984,,
USGS,11463500,2/26/19 23:00,PST,43.4,13.22832,,
USGS,11463500,2/26/19 23:15,PST,43.41,13.231368,,
USGS,11463500,2/26/19 23:30,PST,43.46,13.246608,,
USGS,11463500,2/26/19 23:45,PST,43.52,13.264896,,
USGS,11463500,2/27/19 0:00,PST,43.56,13.277088,4.3999987,0.829224
USGS,11463500,2/27/19 0:15,PST,43.6,13.28928,,
USGS,11463500,2/27/19 0:30,PST,43.62,13.295376,,
USGS,11463500,2/27/19 0:45,PST,43.68,13.313664,,
USGS,11463500,2/27/19 1:00,PST,43.68,13.313664,,
USGS,11463500,2/27/19 1:15,PST,43.74,13.331952,,
USGS,11463500,2/27/19 1:30,PST,43.79,13.347192,,
USGS,11463500,2/27/19 1:45,PST,43.82,13.356336,,
USGS,11463500,2/27/19 2:00,PST,43.86,13.368528,,
USGS,11463500,2/27/19 2:15,PST,43.89,13.377672,,
USGS,11463500,2/27/19 2:30,PST,43.9,13.38072,,
USGS,11463500,2/27/19 2:45,PST,43.93,13.389864,,
USGS,11463500,2/27/19 3:00,PST,43.96,13.399008,,
USGS,11463500,2/27/19 3:15,PST,43.94,13.392912,,
USGS,11463500,2/27/19 3:30,PST,43.97,13.402056,,
USGS,11463500,2/27/19 3:45,PST,43.98,13.405104,,
USGS,11463500,2/27/19 4:00,PST,43.96,13.399008,,
USGS,11463500,2/27/19 4:15,PST,43.95,13.39596,,
USGS,11463500,2/27/19 4:30,PST,43.95,13.39596,,
USGS,11463500,2/27/19 4:45,PST,43.93,13.389864,,
USGS,11463500,2/27/19 5:00,PST,43.97,13.402056,,
USGS,11463500,2/27/19 5:15,PST,43.89,13.377672,,
USGS,11463500,2/27/19 5:30,PST,43.93,13.389864,,
USGS,11463500,2/27/19 5:45,PST,43.88,13.374624,,
USGS,11463500,2/27/19 6:00,PST,43.84,13.362432,,
USGS,11463500,2/27/19 6:15,PST,43.8,13.35024,,
USGS,11463500,2/27/19 6:30,PST,43.73,13.328904,,
USGS,11463500,2/27/19 6:45,PST,43.69,13.316712,,
USGS,11463500,2/27/19 7:00,PST,43.64,13.301472,,
USGS,11463500,2/27/19 7:15,PST,43.57,13.280136,,
USGS,11463500,2/27/19 7:30,PST,43.53,13.267944,,
USGS,11463500,2/27/19 7:45,PST,43.49,13.255752,,
USGS,11463500,2/27/19 8:00,PST,43.46,13.246608,,
USGS,11463500,2/27/19 8:15,PST,43.38,13.222224,,
USGS,11463500,2/27/19 8:30,PST,43.31,13.200888,,
USGS,11463500,2/27/19 8:45,PST,43.24,13.179552,,
USGS,11463500,2/27/19 9:00,PST,43.15,13.15212,,
USGS,11463500,2/27/19 9:15,PST,43.1,13.13688,,
USGS,11463500,2/27/19 9:30,PST,43.03,13.115544,,
USGS,11463500,2/27/19 9:45,PST,42.97,13.097256,,
USGS,11463500,2/27/19 10:00,PST,42.89,13.072872,,
USGS,11463500,2/27/19 10:15,PST,42.82,13.051536,,
USGS,11463500,2/27/19 10:30,PST,42.74,13.027152,,
USGS,11463500,2/27/19 10:45,PST,42.67,13.005816,,
USGS,11463500,2/27/19 11:00,PST,42.59,12.981432,,
USGS,11463500,2/27/19 11:15,PST,42.53,12.963144,,
USGS,11463500,2/27/19 11:30,PST,42.47,12.944856,,
USGS,11463500,2/27/19 11:45,PST,42.43,12.932664,,
USGS,11463500,2/27/19 12:00,PST,42.33,12.902184,,
USGS,11463500,2/27/19 12:15,PST,42.28,12.886944,,
USGS,11463500,2/27/19 12:30,PST,42.2,12.86256,,
USGS,11463500,2/27/19 12:45,PST,42.17,12.853416,,
USGS,11463500,2/27/19 13:00,PST,42.1,12.83208,,
USGS,11463500,2/27/19 13:15,PST,42.02,12.807696,,
USGS,11463500,2/27/19 13:30,PST,41.95,12.78636,,
USGS,11463500,2/27/19 13:45,PST,41.91,12.774168,,
USGS,11463500,2/27/19 14:00,PST,41.85,12.75588,,
USGS,11463500,2/27/19 14:15,PST,41.79,12.737592,,
USGS,11463500,2/27/19 14:30,PST,41.74,12.722352,,
USGS,11463500,2/27/19 14:45,PST,41.7,12.71016,,
USGS,11463500,2/27/19 15:00,PST,41.68,12.704064,,
USGS,11463500,2/27/19 15:15,PST,41.62,12.685776,,
USGS,11463500,2/27/19 15:30,PST,41.58,12.673584,,
USGS,11463500,2/27/19 15:45,PST,41.53,12.658344,,
USGS,11463500,2/27/19 16:00,PST,41.5,12.6492,,
USGS,11463500,2/27/19 16:15,PST,41.44,12.630912,,
USGS,11463500,2/27/19 16:30,PST,41.37,12.609576,,
USGS,11463500,2/27/19 16:45,PST,41.36,12.606528,,
USGS,11463500,2/27/19 17:00,PST,41.31,12.591288,,
USGS,11463500,2/27/19 17:15,PST,41.29,12.585192,,
USGS,11463500,2/27/19 17:30,PST,41.23,12.566904,,
USGS,11463500,2/27/19 17:45,PST,41.18,12.551664,,
USGS,11463500,2/27/19 18:00,PST,41.16,12.545568,,
USGS,11463500,2/27/19 18:15,PST,41.09,12.524232,,
USGS,11463500,2/27/19 18:30,PST,41.05,12.51204,,
USGS,11463500,2/27/19 18:45,PST,41,12.4968,,
USGS,11463500,2/27/19 19:00,PST,40.96,12.484608,,
USGS,11463500,2/27/19 19:15,PST,40.91,12.469368,,
USGS,11463500,2/27/19 19:30,PST,40.86,12.454128,,
USGS,11463500,2/27/19 19:45,PST,40.82,12.441936,,
USGS,11463500,2/27/19 20:00,PST,40.77,12.426696,,
USGS,11463500,2/27/19 20:15,PST,40.71,12.408408,,
USGS,11463500,2/27/19 20:30,PST,40.68,12.399264,,
USGS,11463500,2/27/19 20:45,PST,40.62,12.380976,,
USGS,11463500,2/27/19 21:00,PST,40.54,12.356592,,
USGS,11463500,2/27/19 21:15,PST,40.49,12.341352,,
USGS,11463500,2/27/19 21:30,PST,40.43,12.323064,,
USGS,11463500,2/27/19 21:45,PST,40.37,12.304776,,
USGS,11463500,2/27/19 22:00,PST,40.3,12.28344,,
USGS,11463500,2/27/19 22:15,PST,40.23,12.262104,,
USGS,11463500,2/27/19 22:30,PST,40.18,12.246864,,
USGS,11463500,2/27/19 22:45,PST,40.1,12.22248,,
USGS,11463500,2/27/19 23:00,PST,40.03,12.201144,,
USGS,11463500,2/27/19 23:15,PST,39.94,12.173712,,
USGS,11463500,2/27/19 23:30,PST,39.88,12.155424,,
USGS,11463500,2/27/19 23:45,PST,39.81,12.134088,,
USGS,11463500,2/28/19 0:00,PST,39.72,12.106656,4.0499973,0.1587174
USGS,11463500,2/28/19 0:15,PST,39.62,12.076176,,
USGS,11463500,2/28/19 0:30,PST,39.51,12.042648,,
USGS,11463500,2/28/19 0:45,PST,39.41,12.012168,,
USGS,11463500,2/28/19 1:00,PST,39.31,11.981688,,
USGS,11463500,2/28/19 1:15,PST,39.21,11.951208,,
USGS,11463500,2/28/19 1:30,PST,39.11,11.920728,,
USGS,11463500,2/28/19 1:45,PST,39.01,11.890248,,
USGS,11463500,2/28/19 2:00,PST,38.91,11.859768,,
USGS,11463500,2/28/19 2:15,PST,38.82,11.832336,,
USGS,11463500,2/28/19 2:30,PST,38.73,11.804904,,
USGS,11463500,2/28/19 2:45,PST,38.6,11.76528,,
USGS,11463500,2/28/19 3:00,PST,38.52,11.740896,,
USGS,11463500,2/28/19 3:15,PST,38.42,11.710416,,
USGS,11463500,2/28/19 3:30,PST,38.32,11.679936,,
USGS,11463500,2/28/19 3:45,PST,38.22,11.649456,,
USGS,11463500,2/28/19 4:00,PST,38.11,11.615928,,
USGS,11463500,2/28/19 4:15,PST,38.02,11.588496,,
USGS,11463500,2/28/19 4:30,PST,37.92,11.558016,,
USGS,11463500,2/28/19 4:45,PST,37.82,11.527536,,
USGS,11463500,2/28/19 5:00,PST,37.73,11.500104,,
USGS,11463500,2/28/19 5:15,PST,37.63,11.469624,,
USGS,11463500,2/28/19 5:30,PST,37.53,11.439144,,
USGS,11463500,2/28/19 5:45,PST,37.45,11.41476,,
USGS,11463500,2/28/19 6:00,PST,37.36,11.387328,,
USGS,11463500,2/28/19 6:15,PST,37.27,11.359896,,
USGS,11463500,2/28/19 6:30,PST,37.18,11.332464,,
USGS,11463500,2/28/19 6:45,PST,37.09,11.305032,,
USGS,11463500,2/28/19 7:00,PST,37.02,11.283696,,
USGS,11463500,2/28/19 7:15,PST,36.93,11.256264,,
USGS,11463500,2/28/19 7:30,PST,36.84,11.228832,,
USGS,11463500,2/28/19 7:45,PST,36.76,11.204448,,
USGS,11463500,2/28/19 8:00,PST,36.66,11.173968,,
USGS,11463500,2/28/19 8:15,PST,36.59,11.152632,,
USGS,11463500,2/28/19 8:30,PST,36.51,11.128248,,
USGS,11463500,2/28/19 8:45,PST,36.44,11.106912,,
USGS,11463500,2/28/19 9:00,PST,36.36,11.082528,,
USGS,11463500,2/28/19 9:15,PST,36.29,11.061192,,
USGS,11463500,2/28/19 9:30,PST,36.21,11.036808,,
USGS,11463500,2/28/19 9:45,PST,36.14,11.015472,,
USGS,11463500,2/28/19 10:00,PST,36.08,10.997184,,
USGS,11463500,2/28/19 10:15,PST,36.01,10.975848,,
USGS,11463500,2/28/19 10:30,PST,35.95,10.95756,,
USGS,11463500,2/28/19 10:45,PST,35.89,10.939272,,
USGS,11463500,2/28/19 11:00,PST,35.82,10.917936,,
USGS,11463500,2/28/19 11:15,PST,35.76,10.899648,,
USGS,11463500,2/28/19 11:30,PST,35.68,10.875264,,
USGS,11463500,2/28/19 11:45,PST,35.62,10.856976,,
USGS,11463500,2/28/19 12:00,PST,35.56,10.838688,,
USGS,11463500,2/28/19 12:15,PST,35.53,10.829544,,
USGS,11463500,2/28/19 12:30,PST,35.46,10.808208,,
USGS,11463500,2/28/19 12:45,PST,35.41,10.792968,,
USGS,11463500,2/28/19 13:00,PST,35.35,10.77468,,
USGS,11463500,2/28/19 13:15,PST,35.3,10.75944,,
USGS,11463500,2/28/19 13:30,PST,35.25,10.7442,,
USGS,11463500,2/28/19 13:45,PST,35.19,10.725912,,
USGS,11463500,2/28/19 14:00,PST,35.12,10.704576,,
USGS,11463500,2/28/19 14:15,PST,35.09,10.695432,,
USGS,11463500,2/28/19 14:30,PST,35.04,10.680192,,
USGS,11463500,2/28/19 14:45,PST,35,10.668,,
USGS,11463500,2/28/19 15:00,PST,34.95,10.65276,,
USGS,11463500,2/28/19 15:15,PST,34.91,10.640568,,
USGS,11463500,2/28/19 15:30,PST,34.83,10.616184,,
USGS,11463500,2/28/19 15:45,PST,34.79,10.603992,,
USGS,11463500,2/28/19 16:00,PST,34.74,10.588752,,
USGS,11463500,2/28/19 16:15,PST,34.7,10.57656,,
USGS,11463500,2/28/19 16:30,PST,34.65,10.56132,,
USGS,11463500,2/28/19 16:45,PST,34.6,10.54608,,
USGS,11463500,2/28/19 17:00,PST,34.56,10.533888,,
USGS,11463500,2/28/19 17:15,PST,34.51,10.518648,,
USGS,11463500,2/28/19 17:30,PST,34.45,10.50036,,
USGS,11463500,2/28/19 17:45,PST,34.42,10.491216,,
USGS,11463500,2/28/19 18:00,PST,34.39,10.482072,,
USGS,11463500,2/28/19 18:15,PST,34.35,10.46988,,
USGS,11463500,2/28/19 18:30,PST,34.31,10.457688,,
USGS,11463500,2/28/19 18:45,PST,34.27,10.445496,,
USGS,11463500,2/28/19 19:00,PST,34.23,10.433304,,
USGS,11463500,2/28/19 19:15,PST,34.19,10.421112,,
USGS,11463500,2/28/19 19:30,PST,34.16,10.411968,,
USGS,11463500,2/28/19 19:45,PST,34.13,10.402824,,
USGS,11463500,2/28/19 20:00,PST,34.09,10.390632,,
USGS,11463500,2/28/19 20:15,PST,34.06,10.381488,,
USGS,11463500,2/28/19 20:30,PST,34.01,10.366248,,
USGS,11463500,2/28/19 20:45,PST,33.98,10.357104,,
USGS,11463500,2/28/19 21:00,PST,33.94,10.344912,,
USGS,11463500,2/28/19 21:15,PST,33.9,10.33272,,
USGS,11463500,2/28/19 21:30,PST,33.86,10.320528,,
USGS,11463500,2/28/19 21:45,PST,33.83,10.311384,,
USGS,11463500,2/28/19 22:00,PST,33.8,10.30224,,
USGS,11463500,2/28/19 22:15,PST,33.77,10.293096,,
USGS,11463500,2/28/19 22:30,PST,33.72,10.277856,,
USGS,11463500,2/28/19 22:45,PST,33.7,10.27176,,
